dataset	description	version	name	taxon_id	genbank_accession	mart	n_gene	n_bp_genesets	n_cc_genesets	n_mf_genesets	ncbi_genome_link
marmatus_gene_ensembl	Zig-zag eel genes (fMasArm1.2)	fMasArm1.2	Mastacembelus armatus (Zig-zag eel)	205130	GCA_900324485.2	genes_mart	23389	5934	873	2452	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/324/485//GCA_900324485.2_fMasArm1.2/GCA_900324485.2_fMasArm1.2_assembly_report.txt
mauratus_gene_ensembl	Golden Hamster genes (MesAur1.0)	MesAur1.0	Mesocricetus auratus (Golden Hamster)	10036	GCA_000349665.1	genes_mart	22283	14080	1701	4068	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/349/665//GCA_000349665.1_MesAur1.0/GCA_000349665.1_MesAur1.0_assembly_report.txt
mcaroli_gene_ensembl	Ryukyu mouse genes (CAROLI_EIJ_v1.1)	CAROLI_EIJ_v1.1	Mus caroli (Ryukyu mouse)	10089	GCA_900094665.2	genes_mart	36782	14276	1731	4148	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/094/665//GCA_900094665.2_CAROLI_EIJ_v1.1/GCA_900094665.2_CAROLI_EIJ_v1.1_assembly_report.txt
mdomestica_gene_ensembl	Opossum genes (ASM229v1)	ASM229v1	Monodelphis domestica (Opossum)	13616	GCA_000002295.1	genes_mart	34985	13521	1729	4262	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/002/295//GCA_000002295.1_MonDom5/GCA_000002295.1_MonDom5_assembly_report.txt
mfascicularis_gene_ensembl	Crab-eating macaque genes (Macaca_fascicularis_6.0)	Macaca_fascicularis_6.0	Macaca fascicularis (Crab-eating macaque)	9541	GCA_011100615.1	genes_mart	38550	14018	1692	4172	https://ftp.ncbi.nih.gov/genomes/all/GCA/011/100/615//GCA_011100615.1_Macaca_fascicularis_6.0/GCA_011100615.1_Macaca_fascicularis_6.0_assembly_report.txt
mgallopavo_gene_ensembl	Turkey genes (Turkey_5.1)	Turkey_5.1	Meleagris gallopavo (Turkey)	9103	GCA_000146605.4	genes_mart	17970	11753	1465	3439	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/146/605//GCA_000146605.4_Turkey_5.1/GCA_000146605.4_Turkey_5.1_assembly_report.txt
mleucophaeus_gene_ensembl	Drill genes (Mleu.le_1.0)	Mleu.le_1.0	Mandrillus leucophaeus (Drill)	9568	GCA_000951045.1	genes_mart	27703	13666	1697	4141	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/951/045//GCA_000951045.1_Mleu.le_1.0/GCA_000951045.1_Mleu.le_1.0_assembly_report.txt
mlucifugus_gene_ensembl	Microbat genes (Myoluc2.0)	Myoluc2.0	Myotis lucifugus (Microbat)	59463	GCA_000147115.1	genes_mart	25849	13361	1662	3950	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/147/115//GCA_000147115.1_Myoluc2.0/GCA_000147115.1_Myoluc2.0_assembly_report.txt
mmmarmota_gene_ensembl	Alpine marmot genes (marMar2.1)	marMar2.1	Marmota marmota marmota (Alpine marmot)	9994	GCA_001458135.1	genes_mart	24024	14027	1695	4118	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/458/135//GCA_001458135.1_marMar2.1/GCA_001458135.1_marMar2.1_assembly_report.txt
mmonoceros_gene_ensembl	Narwhal genes (NGI_Narwhal_1)	NGI_Narwhal_1	Monodon monoceros (Narwhal)	40151	GCA_005190385.2	genes_mart	22119	14073	1705	4123	https://ftp.ncbi.nih.gov/genomes/all/GCA/005/190/385//GCA_005190385.2_NGI_Narwhal_1/GCA_005190385.2_NGI_Narwhal_1_assembly_report.txt
mmoschiferus_gene_ensembl	Siberian musk deer genes (MosMos_v2_BIUU_UCD)	MosMos_v2_BIUU_UCD	Moschus moschiferus (Siberian musk deer)	68415	GCA_004024705.2	genes_mart	24549	13964	1699	4100	https://ftp.ncbi.nih.gov/genomes/all/GCA/004/024/705//GCA_004024705.2_MosMos_v2_BIUU_UCD/GCA_004024705.2_MosMos_v2_BIUU_UCD_assembly_report.txt
mmulatta_gene_ensembl	Macaque genes (Mmul_10)	Mmul_10	Macaca mulatta (Macaque)	9544	GCA_003339765.3	genes_mart	35432	14422	1772	4386	https://ftp.ncbi.nih.gov/genomes/all/GCA/003/339/765//GCA_003339765.3_Mmul_10/GCA_003339765.3_Mmul_10_assembly_report.txt
mmurdjan_gene_ensembl	Pinecone soldierfish genes (fMyrMur1.1)	fMyrMur1.1	Myripristis murdjan (Pinecone soldierfish)	586833	GCA_902150065.1	genes_mart	25071	5975	776	2138	https://ftp.ncbi.nih.gov/genomes/all/GCA/902/150/065//GCA_902150065.1_fMyrMur1.1/GCA_902150065.1_fMyrMur1.1_assembly_report.txt
mmurinus_gene_ensembl	Mouse Lemur genes (Mmur_3.0)	Mmur_3.0	Microcebus murinus (Mouse Lemur)	30608	GCA_000165445.3	genes_mart	26798	14009	1689	4073	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/165/445//GCA_000165445.3_Mmur_3.0/GCA_000165445.3_Mmur_3.0_assembly_report.txt
mmusculus_gene_ensembl	Mouse genes (GRCm39)	GRCm39	Mus musculus (Mouse)	10090	GCA_000001635.9	genes_mart	57010	15791	1970	4920	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/001/635//GCA_000001635.9_GRCm39/GCA_000001635.9_GRCm39_assembly_report.txt
mnemestrina_gene_ensembl	Pig-tailed macaque genes (Mnem_1.0)	Mnem_1.0	Macaca nemestrina (Pig-tailed macaque)	9545	GCA_000956065.1	genes_mart	28865	14089	1710	4236	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/956/065//GCA_000956065.1_Mnem_1.0/GCA_000956065.1_Mnem_1.0_assembly_report.txt
mochrogaster_gene_ensembl	Prairie vole genes (MicOch1.0)	MicOch1.0	Microtus ochrogaster (Prairie vole)	79684	GCA_000317375.1	genes_mart	23038	14162	1720	4118	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/317/375//GCA_000317375.1_MicOch1.0/GCA_000317375.1_MicOch1.0_assembly_report.txt
mpahari_gene_ensembl	Shrew mouse genes (PAHARI_EIJ_v1.1)	PAHARI_EIJ_v1.1	Mus pahari (Shrew mouse)	10093	GCA_900095145.2	genes_mart	35088	14261	1722	4147	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/095/145//GCA_900095145.2_PAHARI_EIJ_v1.1/GCA_900095145.2_PAHARI_EIJ_v1.1_assembly_report.txt
mpfuro_gene_ensembl	Ferret genes (MusPutFur1.0)	MusPutFur1.0	Mustela putorius furo (Ferret)	9669	GCA_000215625.1	genes_mart	32057	13984	1714	4192	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/215/625//GCA_000215625.1_MusPutFur1.0/GCA_000215625.1_MusPutFur1.0_assembly_report.txt
mspicilegus_gene_ensembl	Steppe mouse genes (MUSP714)	MUSP714	Mus spicilegus (Steppe mouse)	10103	GCA_003336285.1	genes_mart	30872	14168	1707	4103	https://ftp.ncbi.nih.gov/genomes/all/GCA/003/336/285//GCA_003336285.1_MUSP714/GCA_003336285.1_MUSP714_assembly_report.txt
mspretus_gene_ensembl	Algerian mouse genes (SPRET_EiJ_v1)	SPRET_EiJ_v1	Mus spretus (Algerian mouse)	10096	GCA_001624865.1	genes_mart	38557	14312	1730	4165	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/624/865//GCA_001624865.1_SPRET_EiJ_v1/GCA_001624865.1_SPRET_EiJ_v1_assembly_report.txt
mzebra_gene_ensembl	Zebra mbuna genes (M_zebra_UMD2a)	M_zebra_UMD2a	Maylandia zebra (Zebra mbuna)	106582	GCA_000238955.5	genes_mart	28622	6271	886	2510	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/238/955//GCA_000238955.5_M_zebra_UMD2a/GCA_000238955.5_M_zebra_UMD2a_assembly_report.txt
nbrichardi_gene_ensembl	Lyretail cichlid genes (NeoBri1.0)	NeoBri1.0	Neolamprologus brichardi (Lyretail cichlid)	32507	GCA_000239395.1	genes_mart	24411	6187	873	2447	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/239/395//GCA_000239395.1_NeoBri1.0/GCA_000239395.1_NeoBri1.0_assembly_report.txt
neugenii_gene_ensembl	Wallaby genes (Meug_1.0)	Meug_1.0	Notamacropus eugenii (Wallaby)	9315	GCA_000004035.1	genes_mart	18258	10221	1417	3369	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/004/035//GCA_000004035.1_Meug_1.1/GCA_000004035.1_Meug_1.1_assembly_report.txt
nfurzeri_gene_ensembl	Turquoise killifish genes (Nfu_20140520)	Nfu_20140520	Nothobranchius furzeri (Turquoise killifish)	105023	GCA_001465895.2	genes_mart	25475	6040	833	2270	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/465/895//GCA_001465895.2_Nfu_20140520/GCA_001465895.2_Nfu_20140520_assembly_report.txt
ngalili_gene_ensembl	Upper Galilee mountains blind mole rat genes (S.galili_v1.0)	S.galili_v1.0	Nannospalax galili (Upper Galilee mountains blind mole rat)	1026970	GCA_000622305.1	genes_mart	24636	14084	1718	4081	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/622/305//GCA_000622305.1_S.galili_v1.0/GCA_000622305.1_S.galili_v1.0_assembly_report.txt
nleucogenys_gene_ensembl	Gibbon genes (Nleu_3.0)	Nleu_3.0	Nomascus leucogenys (Gibbon)	61853	GCA_000146795.3	genes_mart	27826	13897	1686	4048	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/146/795//GCA_000146795.3_Nleu_3.0/GCA_000146795.3_Nleu_3.0_assembly_report.txt
nnaja_gene_ensembl	Indian cobra genes (Nana_v5)	Nana_v5	Naja naja (Indian cobra)	35670	GCA_009733165.1	genes_mart	19194	13255	1626	3825	https://ftp.ncbi.nih.gov/genomes/all/GCA/009/733/165//GCA_009733165.1_Nana_v5/GCA_009733165.1_Nana_v5_assembly_report.txt
nscutatus_gene_ensembl	Mainland tiger snake genes (TS10Xv2-PRI)	TS10Xv2-PRI	Notechis scutatus (Mainland tiger snake)	8663	GCA_900518725.1	genes_mart	20639	13068	1621	3779	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/518/725//GCA_900518725.1_TS10Xv2-PRI/GCA_900518725.1_TS10Xv2-PRI_assembly_report.txt
nvison_gene_ensembl	American mink genes (NNQGG.v01)	NNQGG.v01	Neovison vison (American mink)	452646	GCA_900108605.1	genes_mart	24526	13943	1707	4113	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/108/605//GCA_900108605.1_NNQGG.v01/GCA_900108605.1_NNQGG.v01_assembly_report.txt
oanatinus_gene_ensembl	Platypus genes (mOrnAna1.p.v1)	mOrnAna1.p.v1	Ornithorhynchus anatinus (Platypus)	9258	GCA_004115215.2	genes_mart	26272	13489	1712	4108	https://ftp.ncbi.nih.gov/genomes/all/GCA/004/115/215//GCA_004115215.2_mOrnAna1.p.v1/GCA_004115215.2_mOrnAna1.p.v1_assembly_report.txt
oarambouillet_gene_ensembl	Sheep genes (Oar_rambouillet_v1.0)	Oar_rambouillet_v1.0	Ovis aries (Sheep)	9940	GCA_002742125.1	genes_mart	26478	13958	1684	4067	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/742/125//GCA_002742125.1_Oar_rambouillet_v1.0/GCA_002742125.1_Oar_rambouillet_v1.0_assembly_report.txt
oaries_gene_ensembl	Sheep (texel) genes (Oar_v3.1)	Oar_v3.1	Ovis aries (Sheep (texel))	9940	GCA_000298735.1	genes_mart	27054	13734	1670	4062	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/298/735//GCA_000298735.1_Oar_v3.1/GCA_000298735.1_Oar_v3.1_assembly_report.txt
ocuniculus_gene_ensembl	Rabbit genes (OryCun2.0)	OryCun2.0	Oryctolagus cuniculus (Rabbit)	9986	GCA_000003625.1	genes_mart	29587	13486	1657	3948	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/003/625//GCA_000003625.1_OryCun2.0/GCA_000003625.1_OryCun2.0_assembly_report.txt
odegus_gene_ensembl	Degu genes (OctDeg1.0)	OctDeg1.0	Octodon degus (Degu)	10160	GCA_000260255.1	genes_mart	25903	13796	1676	3984	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/260/255//GCA_000260255.1_OctDeg1.0/GCA_000260255.1_OctDeg1.0_assembly_report.txt
ogarnettii_gene_ensembl	Bushbaby genes (OtoGar3)	OtoGar3	Otolemur garnettii (Bushbaby)	30611	GCA_000181295.3	genes_mart	28085	14052	1689	4178	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/181/295//GCA_000181295.3_OtoGar3/GCA_000181295.3_OtoGar3_assembly_report.txt
ojavanicus_gene_ensembl	Javanese ricefish genes (OJAV_1.1)	OJAV_1.1	Oryzias javanicus (Javanese ricefish)	123683	GCA_003999625.1	genes_mart	24179	5979	862	2260	https://ftp.ncbi.nih.gov/genomes/all/GCA/003/999/625//GCA_003999625.1_OJAV_1.1/GCA_003999625.1_OJAV_1.1_assembly_report.txt
okisutch_gene_ensembl	Coho salmon genes (Okis_V2)	Okis_V2	Oncorhynchus kisutch (Coho salmon)	8019	GCA_002021735.2	genes_mart	51004	4892	755	2052	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/021/735//GCA_002021735.2_Okis_V2/GCA_002021735.2_Okis_V2_assembly_report.txt
olatipes_gene_ensembl	Japanese medaka HdrR genes (ASM223467v1)	ASM223467v1	Oryzias latipes (Japanese medaka HdrR)	8090	GCA_002234675.1	genes_mart	24365	8282	1251	3235	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/234/675//GCA_002234675.1_ASM223467v1/GCA_002234675.1_ASM223467v1_assembly_report.txt
omelastigma_gene_ensembl	Indian medaka genes (Om_v0.7.RACA)	Om_v0.7.RACA	Oryzias melastigma (Indian medaka)	30732	GCA_002922805.1	genes_mart	24019	6192	883	2488	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/922/805//GCA_002922805.1_Om_v0.7.RACA/GCA_002922805.1_Om_v0.7.RACA_assembly_report.txt
omykiss_gene_ensembl	Rainbow trout genes (USDA_OmykA_1.1)	USDA_OmykA_1.1	Oncorhynchus mykiss (Rainbow trout)	8022	GCA_013265735.3	genes_mart	64494	5079	833	2225	https://ftp.ncbi.nih.gov/genomes/all/GCA/013/265/735//GCA_013265735.3_USDA_OmykA_1.1/GCA_013265735.3_USDA_OmykA_1.1_assembly_report.txt
oniloticus_gene_ensembl	Nile tilapia genes (O_niloticus_UMD_NMBU)	O_niloticus_UMD_NMBU	Oreochromis niloticus (Nile tilapia)	8128	GCA_001858045.3	genes_mart	33437	6180	896	2499	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/858/045//GCA_001858045.3_O_niloticus_UMD_NMBU/GCA_001858045.3_O_niloticus_UMD_NMBU_assembly_report.txt
oprinceps_gene_ensembl	Pika genes (OchPri2.0-Ens)	OchPri2.0-Ens	Ochotona princeps (Pika)	9978	-	genes_mart	23065	11494	1558	3616	NA
osinensis_gene_ensembl	Chinese medaka genes (ASM858656v1)	ASM858656v1	Oryzias sinensis (Chinese medaka)	183150	GCA_008586565.1	genes_mart	24022	5709	763	2052	https://ftp.ncbi.nih.gov/genomes/all/GCA/008/586/565//GCA_008586565.1_ASM858656v1/GCA_008586565.1_ASM858656v1_assembly_report.txt
otshawytscha_gene_ensembl	Chinook salmon genes (Otsh_v1.0)	Otsh_v1.0	Oncorhynchus tshawytscha (Chinook salmon)	74940	GCA_002872995.1	genes_mart	47998	4945	750	2055	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/872/995//GCA_002872995.1_Otsh_v1.0/GCA_002872995.1_Otsh_v1.0_assembly_report.txt
pabelii_gene_ensembl	Sumatran orangutan genes (Susie_PABv2)	Susie_PABv2	Pongo abelii (Sumatran orangutan)	9601	GCA_002880775.3	genes_mart	31285	14215	1695	4314	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/880/775//GCA_002880775.3_Susie_PABv2/GCA_002880775.3_Susie_PABv2_assembly_report.txt
panubis_gene_ensembl	Olive baboon genes (Panubis1.0)	Panubis1.0	Papio anubis (Olive baboon)	9555	GCA_008728515.1	genes_mart	33835	13848	1681	4152	https://ftp.ncbi.nih.gov/genomes/all/GCA/008/728/515//GCA_008728515.1_Panubis1.0/GCA_008728515.1_Panubis1.0_assembly_report.txt
pcapensis_gene_ensembl	Hyrax genes (proCap1)	proCap1	Procavia capensis (Hyrax)	9813	-	genes_mart	18897	11324	1526	3688	NA
pcatodon_gene_ensembl	Sperm whale genes (ASM283717v2)	ASM283717v2	Physeter catodon (Sperm whale)	9755	GCA_002837175.2	genes_mart	22820	13752	1688	4126	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/837/175//GCA_002837175.2_ASM283717v2/GCA_002837175.2_ASM283717v2_assembly_report.txt
pcinereus_gene_ensembl	Koala genes (phaCin_unsw_v4.1)	phaCin_unsw_v4.1	Phascolarctos cinereus (Koala)	38626	GCA_002099425.1	genes_mart	25477	13470	1644	3942	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/099/425//GCA_002099425.1_phaCin_unsw_v4.1/GCA_002099425.1_phaCin_unsw_v4.1_assembly_report.txt
pcoquereli_gene_ensembl	Coquerel's sifaka genes (Pcoq_1.0)	Pcoq_1.0	Propithecus coquereli (Coquerel's sifaka)	379532	GCA_000956105.1	genes_mart	23635	13847	1676	4104	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/956/105//GCA_000956105.1_Pcoq_1.0/GCA_000956105.1_Pcoq_1.0_assembly_report.txt
pformosa_gene_ensembl	Amazon molly genes (Poecilia_formosa-5.1.2)	Poecilia_formosa-5.1.2	Poecilia formosa (Amazon molly)	48698	GCA_000485575.1	genes_mart	24354	6209	877	2447	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/485/575//GCA_000485575.1_Poecilia_formosa-5.1.2/GCA_000485575.1_Poecilia_formosa-5.1.2_assembly_report.txt
pkingsleyae_gene_ensembl	Paramormyrops kingsleyae genes (PKINGS_0.1)	PKINGS_0.1	Paramormyrops kingsleyae (P. kingsleyae)	1676925	GCA_002872115.1	genes_mart	25692	6056	885	2491	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/872/115//GCA_002872115.1_PKINGS_0.1/GCA_002872115.1_PKINGS_0.1_assembly_report.txt
platipinna_gene_ensembl	Sailfin molly genes (P_latipinna-1.0)	P_latipinna-1.0	Poecilia latipinna (Sailfin molly)	48699	GCA_001443285.1	genes_mart	24034	6171	886	2462	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/443/285//GCA_001443285.1_P_latipinna-1.0/GCA_001443285.1_P_latipinna-1.0_assembly_report.txt
pleo_gene_ensembl	Lion genes (PanLeo1.0)	PanLeo1.0	Panthera leo (Lion)	9689	GCA_008795835.1	genes_mart	22743	14143	1709	4129	https://ftp.ncbi.nih.gov/genomes/all/GCA/008/795/835//GCA_008795835.1_PanLeo1.0/GCA_008795835.1_PanLeo1.0_assembly_report.txt
pmajor_gene_ensembl	Great Tit genes (Parus_major1.1)	Parus_major1.1	Parus major (Great Tit)	9157	GCA_001522545.2	genes_mart	20006	13407	1642	3841	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/522/545//GCA_001522545.2_Parus_major1.1/GCA_001522545.2_Parus_major1.1_assembly_report.txt
pmarinus_gene_ensembl	Lamprey genes (Pmarinus_7.0)	Pmarinus_7.0	Petromyzon marinus (Lamprey)	7757	-	genes_mart	13114	4080	726	1795	NA
pmbairdii_gene_ensembl	Northern American deer mouse genes (HU_Pman_2.1)	HU_Pman_2.1	Peromyscus maniculatus bairdii (Northern American deer mouse)	230844	GCA_003704035.1	genes_mart	25394	14279	1724	4148	https://ftp.ncbi.nih.gov/genomes/all/GCA/003/704/035//GCA_003704035.1_HU_Pman_2.1/GCA_003704035.1_HU_Pman_2.1_assembly_report.txt
pmuralis_gene_ensembl	Common wall lizard genes (PodMur_1.0)	PodMur_1.0	Podarcis muralis (Common wall lizard)	64176	GCA_004329235.1	genes_mart	23942	13535	1638	3890	https://ftp.ncbi.nih.gov/genomes/all/GCA/004/329/235//GCA_004329235.1_PodMur_1.0/GCA_004329235.1_PodMur_1.0_assembly_report.txt
pnattereri_gene_ensembl	Red-bellied piranha genes (Pygocentrus_nattereri-1.0.2)	Pygocentrus_nattereri-1.0.2	Pygocentrus nattereri (Red-bellied piranha)	42514	GCA_001682695.1	genes_mart	30104	6420	890	2538	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/682/695//GCA_001682695.1_Pygocentrus_nattereri-1.0.2/GCA_001682695.1_Pygocentrus_nattereri-1.0.2_assembly_report.txt
pnyererei_gene_ensembl	Makobe Island cichlid genes (PunNye1.0)	PunNye1.0	Pundamilia nyererei (Makobe Island cichlid)	303518	GCA_000239375.1	genes_mart	24272	6221	887	2480	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/239/375//GCA_000239375.1_PunNye1.0/GCA_000239375.1_PunNye1.0_assembly_report.txt
ppaniscus_gene_ensembl	Bonobo genes (panpan1.1)	panpan1.1	Pan paniscus (Bonobo)	9597	GCA_000258655.2	genes_mart	30258	14029	1706	4157	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/258/655//GCA_000258655.2_panpan1.1/GCA_000258655.2_panpan1.1_assembly_report.txt
ppardus_gene_ensembl	Leopard genes (PanPar1.0)	PanPar1.0	Panthera pardus (Leopard)	9691	GCA_001857705.1	genes_mart	25093	14102	1700	4212	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/857/705//GCA_001857705.1_PanPar1.0/GCA_001857705.1_PanPar1.0_assembly_report.txt
preticulata_gene_ensembl	Guppy genes (Guppy_female_1.0_MT)	Guppy_female_1.0_MT	Poecilia reticulata (Guppy)	8081	GCA_000633615.2	genes_mart	23254	6217	882	2472	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/633/615//GCA_000633615.2_Guppy_female_1.0_MT/GCA_000633615.2_Guppy_female_1.0_MT_assembly_report.txt
psimus_gene_ensembl	Greater bamboo lemur genes (Prosim_1.0)	Prosim_1.0	Prolemur simus (Greater bamboo lemur)	1328070	GCA_003258685.1	genes_mart	26099	13831	1687	4086	https://ftp.ncbi.nih.gov/genomes/all/GCA/003/258/685//GCA_003258685.1_Prosim_1.0/GCA_003258685.1_Prosim_1.0_assembly_report.txt
psinensis_gene_ensembl	Chinese softshell turtle genes (PelSin_1.0)	PelSin_1.0	Pelodiscus sinensis (Chinese softshell turtle)	13735	GCA_000230535.1	genes_mart	19328	13459	1657	3977	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/230/535//GCA_000230535.1_PelSin_1.0/GCA_000230535.1_PelSin_1.0_assembly_report.txt
psinus_gene_ensembl	Vaquita genes (mPhoSin1.pri)	mPhoSin1.pri	Phocoena sinus (Vaquita)	42100	GCA_008692025.1	genes_mart	22721	14111	1700	4106	https://ftp.ncbi.nih.gov/genomes/all/GCA/008/692/025//GCA_008692025.1_mPhoSin1.pri/GCA_008692025.1_mPhoSin1.pri_assembly_report.txt
ptaltaica_gene_ensembl	Tiger genes (PanTig1.0)	PanTig1.0	Panthera tigris altaica (Tiger)	74533	GCA_000464555.1	genes_mart	22119	13585	1675	4033	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/464/555//GCA_000464555.1_PanTig1.0/GCA_000464555.1_PanTig1.0_assembly_report.txt
ptextilis_gene_ensembl	Eastern brown snake genes (EBS10Xv2-PRI)	EBS10Xv2-PRI	Pseudonaja textilis (Eastern brown snake)	8673	GCA_900518735.1	genes_mart	19217	13305	1617	3842	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/518/735//GCA_900518735.1_EBS10Xv2-PRI/GCA_900518735.1_EBS10Xv2-PRI_assembly_report.txt
ptroglodytes_gene_ensembl	Chimpanzee genes (Pan_tro_3.0)	Pan_tro_3.0	Pan troglodytes (Chimpanzee)	9598	GCA_000001515.5	genes_mart	33729	14172	1738	4285	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/001/515//GCA_000001515.5_Pan_tro_3.0/GCA_000001515.5_Pan_tro_3.0_assembly_report.txt
pvampyrus_gene_ensembl	Megabat genes (pteVam1)	pteVam1	Pteropus vampyrus (Megabat)	132908	-	genes_mart	22194	12667	1657	3944	NA
rbieti_gene_ensembl	Black snub-nosed monkey genes (ASM169854v1)	ASM169854v1	Rhinopithecus bieti (Black snub-nosed monkey)	61621	GCA_001698545.1	genes_mart	29905	13711	1686	4115	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/698/545//GCA_001698545.1_ASM169854v1/GCA_001698545.1_ASM169854v1_assembly_report.txt
rferrumequinum_gene_ensembl	Greater horseshoe bat genes (mRhiFer1_v1.p)	mRhiFer1_v1.p	Rhinolophus ferrumequinum (Greater horseshoe bat)	59479	GCA_004115265.2	genes_mart	22172	14055	1695	4133	https://ftp.ncbi.nih.gov/genomes/all/GCA/004/115/265//GCA_004115265.2_mRhiFer1_v1.p/GCA_004115265.2_mRhiFer1_v1.p_assembly_report.txt
rnorvegicus_gene_ensembl	Rat genes (mRatBN7.2)	mRatBN7.2	Rattus norvegicus (Rat)	10116	GCA_015227675.2	genes_mart	30560	15606	1916	4746	https://ftp.ncbi.nih.gov/genomes/all/GCA/015/227/675//GCA_015227675.2_mRatBN7.2/GCA_015227675.2_mRatBN7.2_assembly_report.txt
rroxellana_gene_ensembl	Golden snub-nosed monkey genes (Rrox_v1)	Rrox_v1	Rhinopithecus roxellana (Golden snub-nosed monkey)	61622	GCA_000769185.1	genes_mart	28883	13807	1705	4251	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/769/185//GCA_000769185.1_Rrox_v1/GCA_000769185.1_Rrox_v1_assembly_report.txt
saraneus_gene_ensembl	Shrew genes (sorAra1)	sorAra1	Sorex araneus (Shrew)	42254	-	genes_mart	19134	9854	1373	3131	NA
saurata_gene_ensembl	Gilthead seabream genes (fSpaAur1.1)	fSpaAur1.1	Sparus aurata (Gilthead seabream)	8175	GCA_900880675.1	genes_mart	27714	5949	786	2131	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/880/675//GCA_900880675.1_fSpaAur1.1/GCA_900880675.1_fSpaAur1.1_assembly_report.txt
sbboliviensis_gene_ensembl	Bolivian squirrel monkey genes (SaiBol1.0)	SaiBol1.0	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	39432	GCA_000235385.1	genes_mart	27502	14029	1690	4207	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/235/385//GCA_000235385.1_SaiBol1.0/GCA_000235385.1_SaiBol1.0_assembly_report.txt
scanaria_gene_ensembl	Common canary genes (SCA1)	SCA1	Serinus canaria (Common canary)	9135	GCA_000534875.1	genes_mart	17380	13232	1616	3804	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/534/875//GCA_000534875.1_SCA1/GCA_000534875.1_SCA1_assembly_report.txt
scaustralis_gene_ensembl	African ostrich genes (ASM69896v1)	ASM69896v1	Struthio camelus australis (African ostrich)	441894	GCA_000698965.1	genes_mart	19170	13034	1618	3716	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/698/965//GCA_000698965.1_ASM69896v1/GCA_000698965.1_ASM69896v1_assembly_report.txt
scerevisiae_gene_ensembl	Saccharomyces cerevisiae genes (R64-1-1)	R64-1-1	Saccharomyces cerevisiae S288c (Saccharomyces cerevisiae)	559292	GCA_000146045.2	genes_mart	7127	5203	1084	2607	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/146/045//GCA_000146045.2_R64/GCA_000146045.2_R64_assembly_report.txt
